,name,product_url,price,images,rating,reviews,asin
0,TOZO T10 Bluetooth 5.0 Wireless Earbuds with Wireless Charging Case IPX8 Waterproof TWS Stereo Headphones in Ear Built in Mic Headset Premium Sound with Deep Bass for Sport Black,https://www.amazon.com/TOZO-Bluetooth-Wireless-Headphones-Waterproof/dp/B07J2Z5DBM/ref=sr_1_3?dchild=1&keywords=tws&qid=1616437601&sr=8-3,$29.99,"{""https://images-na.ssl-images-amazon.com/images/I/71-S-dtu42L._AC_SX466_.jpg"":[466,466],""https://images-na.ssl-images-amazon.com/images/I/71-S-dtu42L._AC_SX569_.jpg"":[569,569],""https://images-na.ssl-images-amazon.com/images/I/71-S-dtu42L._AC_SX425_.jpg"":[425,425],""https://images-na.ssl-images-amazon.com/images/I/71-S-dtu42L._AC_SY355_.jpg"":[355,355],""https://images-na.ssl-images-amazon.com/images/I/71-S-dtu42L._AC_SY450_.jpg"":[450,450],""https://images-na.ssl-images-amazon.com/images/I/71-S-dtu42L._AC_SX679_.jpg"":[679,679],""https://images-na.ssl-images-amazon.com/images/I/71-S-dtu42L._AC_SX522_.jpg"":[522,522]}",4.4,"192,120 ratings",B07J2Z5DBM
1,SuperX Bluetooth 5.0 Wireless Earbuds with Charging Case IPX5 Sweatproof Headset/Headphones in Ear Built in Mic Industrial Leading TWS Sound with Sport Pumping Bass - Platinum Silver,https://www.amazon.com/SuperX-Bluetooth-Sweatproof-Headphones-Industrial/dp/B087CBJM29/ref=sr_1_4?dchild=1&keywords=tws&qid=1616437601&sr=8-4,$15.29,"{""https://images-na.ssl-images-amazon.com/images/I/51UBKFNGWDL._AC_SX569_.jpg"":[558,569],""https://images-na.ssl-images-amazon.com/images/I/51UBKFNGWDL._AC_SX425_.jpg"":[417,425],""https://images-na.ssl-images-amazon.com/images/I/51UBKFNGWDL._AC_SX522_.jpg"":[512,522],""https://images-na.ssl-images-amazon.com/images/I/51UBKFNGWDL._AC_SX355_.jpg"":[348,355],""https://images-na.ssl-images-amazon.com/images/I/51UBKFNGWDL._AC_SX679_.jpg"":[666,679],""https://images-na.ssl-images-amazon.com/images/I/51UBKFNGWDL._AC_SX450_.jpg"":[441,450],""https://images-na.ssl-images-amazon.com/images/I/51UBKFNGWDL._AC_SX466_.jpg"":[457,466]}",4.7,"1,388 ratings",B087CBJM29
2,i9000 TWS Original Bluetooth 5.0 in-Ear Earbuds Headsets Sensor Support Wireless Charger Earphone Sport Headphones Stereo pk i20 i30 i12 i10 i60 i80 i1000 i200 (White) (ERTYUIOP),https://www.amazon.com/Original-Bluetooth-Headsets-Wireless-Headphones/dp/B082VBPRWY/ref=sr_1_5?dchild=1&keywords=tws&qid=1616437601&sr=8-5,$25.78,"{""https://images-na.ssl-images-amazon.com/images/I/41aQf5%2BLLYL._AC_SX522_.jpg"":[522,522],""https://images-na.ssl-images-amazon.com/images/I/41aQf5%2BLLYL._AC_SX425_.jpg"":[425,425],""https://images-na.ssl-images-amazon.com/images/I/41aQf5%2BLLYL._AC_SX679_.jpg"":[679,679],""https://images-na.ssl-images-amazon.com/images/I/41aQf5%2BLLYL._AC_SX466_.jpg"":[466,466],""https://images-na.ssl-images-amazon.com/images/I/41aQf5%2BLLYL._AC_SX569_.jpg"":[569,569],""https://images-na.ssl-images-amazon.com/images/I/41aQf5%2BLLYL._AC_SY450_.jpg"":[450,450],""https://images-na.ssl-images-amazon.com/images/I/41aQf5%2BLLYL._AC_SY355_.jpg"":[355,355]}",3.3,119 ratings,B082VBPRWY
3,"Edifier TWS NB2 True Wireless Active Noise Canceling Earbuds, ANC in-Ear Detection,Touch Control, Bluetooth 5.0 Earphones, 32 Hours Playback, White.",https://www.amazon.com/Edifier-Canceling-Detection-Bluetooth-Earphones/dp/B08CDHPFXQ/ref=sr_1_6?dchild=1&keywords=tws&qid=1616437601&sr=8-6,$99.99,"{""https://images-na.ssl-images-amazon.com/images/I/71pmUa-JKOL._AC_SY450_.jpg"":[450,450],""https://images-na.ssl-images-amazon.com/images/I/71pmUa-JKOL._AC_SX569_.jpg"":[569,569],""https://images-na.ssl-images-amazon.com/images/I/71pmUa-JKOL._AC_SY355_.jpg"":[355,355],""https://images-na.ssl-images-amazon.com/images/I/71pmUa-JKOL._AC_SX466_.jpg"":[466,466],""https://images-na.ssl-images-amazon.com/images/I/71pmUa-JKOL._AC_SX425_.jpg"":[425,425],""https://images-na.ssl-images-amazon.com/images/I/71pmUa-JKOL._AC_SX522_.jpg"":[522,522],""https://images-na.ssl-images-amazon.com/images/I/71pmUa-JKOL._AC_SX679_.jpg"":[679,679]}",4.2,107 ratings,B08CDHPFXQ
4,"AUKEY True Wireless Earbuds, Bluetooth 5 Headphones with Immersive Sound, 30-Hours Playtime, USB C Quick Charge, IPX6 Water-Resistant, Noise Cancelling Mics Earphones for iPhone and Android, Black",https://www.amazon.com/AUKEY-Bluetooth-Headphones-Water-Resistant-Cancelling/dp/B08L614VDG/ref=sr_1_7?dchild=1&keywords=tws&qid=1616437601&sr=8-7,$33.99,"{""https://images-na.ssl-images-amazon.com/images/I/61TvqAhH19L._AC_SX569_.jpg"":[711,569],""https://images-na.ssl-images-amazon.com/images/I/61TvqAhH19L._AC_SX425_.jpg"":[531,425],""https://images-na.ssl-images-amazon.com/images/I/61TvqAhH19L._AC_SX466_.jpg"":[583,466],""https://images-na.ssl-images-amazon.com/images/I/61TvqAhH19L._AC_SX679_.jpg"":[849,679],""https://images-na.ssl-images-amazon.com/images/I/61TvqAhH19L._AC_SX522_.jpg"":[653,522],""https://images-na.ssl-images-amazon.com/images/I/61TvqAhH19L._AC_SY355_.jpg"":[355,284],""https://images-na.ssl-images-amazon.com/images/I/61TvqAhH19L._AC_SY450_.jpg"":[450,360]}",4.2,"3,955 ratings",B08L614VDG
5,"Wireless Earbuds, TWS Bluetooth 5.0 Earphones Bluetooth Headphones in-Ear, Auto-Pair Wireless Headphones with High Definition Mic, Stereo Sound, Touch Control, 25H Playtime, No Audio Delay",https://www.amazon.com/Bluetooth-Earphones-Headphones-Auto-Pair-Definition/dp/B07ZYFWBC6/ref=sr_1_8?dchild=1&keywords=tws&qid=1616437601&sr=8-8,$16.99,"{""https://images-na.ssl-images-amazon.com/images/I/61RmLscQkzL._AC_SX679_.jpg"":[679,679],""https://images-na.ssl-images-amazon.com/images/I/61RmLscQkzL._AC_SY355_.jpg"":[355,355],""https://images-na.ssl-images-amazon.com/images/I/61RmLscQkzL._AC_SX425_.jpg"":[425,425],""https://images-na.ssl-images-amazon.com/images/I/61RmLscQkzL._AC_SX569_.jpg"":[569,569],""https://images-na.ssl-images-amazon.com/images/I/61RmLscQkzL._AC_SX466_.jpg"":[466,466],""https://images-na.ssl-images-amazon.com/images/I/61RmLscQkzL._AC_SX522_.jpg"":[522,522],""https://images-na.ssl-images-amazon.com/images/I/61RmLscQkzL._AC_SY450_.jpg"":[450,450]}",4.2,983 ratings,B07ZYFWBC6
6,Bluetooth Headphones True Wireless Earbuds with Charging Case IPX7 Waterproof TWS Stereo Sound Earphones Built-in Mic in-Ear Sports Headsets Deep Bass for iPhone Airpod/Airpods/Android,https://www.amazon.com/Bluetooth-Headphones-Wireless-Waterproof-Earphones/dp/B08TWKM24P/ref=sr_1_9?dchild=1&keywords=tws&qid=1616437601&sr=8-9,$29.99,"{""https://images-na.ssl-images-amazon.com/images/I/51k5L2qgNcL._AC_SX569_.jpg"":[569,569],""https://images-na.ssl-images-amazon.com/images/I/51k5L2qgNcL._AC_SX522_.jpg"":[522,522],""https://images-na.ssl-images-amazon.com/images/I/51k5L2qgNcL._AC_SY355_.jpg"":[355,355],""https://images-na.ssl-images-amazon.com/images/I/51k5L2qgNcL._AC_SX466_.jpg"":[466,466],""https://images-na.ssl-images-amazon.com/images/I/51k5L2qgNcL._AC_SX425_.jpg"":[425,425],""https://images-na.ssl-images-amazon.com/images/I/51k5L2qgNcL._AC_SY450_.jpg"":[450,450],""https://images-na.ssl-images-amazon.com/images/I/51k5L2qgNcL._AC_SX679_.jpg"":[679,679]}",Not Available,Not Available,
7,Inpods12 i12 TWS Wireless Bluetooth Headphones Earbuds Sport Headset Touch Pop-up Stereo Mini Earphone(Auto-Pairing/Smart Touch) for iOS Android (White) Title,https://www.amazon.com/Lwen-Inpods12-Bluetooth-Headphones-Auto-Pairing/dp/B088HBV8CN/ref=sr_1_10?dchild=1&keywords=tws&qid=1616437601&sr=8-10,$14.37,"{""https://images-na.ssl-images-amazon.com/images/I/71QTpW3eiUL._AC_SY355_.jpg"":[355,299],""https://images-na.ssl-images-amazon.com/images/I/71QTpW3eiUL._AC_SX425_.jpg"":[504,425],""https://images-na.ssl-images-amazon.com/images/I/71QTpW3eiUL._AC_SX569_.jpg"":[675,569],""https://images-na.ssl-images-amazon.com/images/I/71QTpW3eiUL._AC_SX466_.jpg"":[553,466],""https://images-na.ssl-images-amazon.com/images/I/71QTpW3eiUL._AC_SY450_.jpg"":[450,379],""https://images-na.ssl-images-amazon.com/images/I/71QTpW3eiUL._AC_SX679_.jpg"":[806,679],""https://images-na.ssl-images-amazon.com/images/I/71QTpW3eiUL._AC_SX522_.jpg"":[619,522]}",3.7,308 ratings,B088HBV8CN
8,"Bluetooth Earbuds, Boltune Bluetooth 5.1 with 4 Mics Ultralight Comfort Wireless Earbuds, CVC 8.0 Stereo Sound Deep Bass, IPX8 Waterproof in-Ear Headphones, Single/Twin Mode for iPhone/Android",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A08764671FO3YDDWSTK1L&url=%2FWireless-Bluetooth-Reduction-Playtime-Waterproof%2Fdp%2FB087BNMJK3%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3Dtws%26qid%3D1616437601%26sr%3D8-11-spons%26psc%3D1%26smid%3DA277URLJSXMAR5&qualifier=1616437601&id=660330565434452&widgetName=sp_mtf,$24.99,"{""https://images-na.ssl-images-amazon.com/images/I/51hLBzTdM%2BL._AC_SX522_.jpg"":[653,522],""https://images-na.ssl-images-amazon.com/images/I/51hLBzTdM%2BL._AC_SX425_.jpg"":[531,425],""https://images-na.ssl-images-amazon.com/images/I/51hLBzTdM%2BL._AC_SX679_.jpg"":[849,679],""https://images-na.ssl-images-amazon.com/images/I/51hLBzTdM%2BL._AC_SX466_.jpg"":[583,466],""https://images-na.ssl-images-amazon.com/images/I/51hLBzTdM%2BL._AC_SX569_.jpg"":[711,569],""https://images-na.ssl-images-amazon.com/images/I/51hLBzTdM%2BL._AC_SY450_.jpg"":[450,360],""https://images-na.ssl-images-amazon.com/images/I/51hLBzTdM%2BL._AC_SY355_.jpg"":[355,284]}",4.4,"3,445 ratings",B087BNMJK3
9,TWS True Wireless Earbuds Bluetooth 5.0 2000mAh Smart LED Display Charging Case | Premium Sounds with Deep Bass | Upgraded F9 Chip | Headphones Noise Cancelling IPX7 Waterproof,https://www.amazon.com/Wireless-Bluetooth-Headphones-Cancelling-Waterproof/dp/B08DW8DYL9/ref=sr_1_12?dchild=1&keywords=tws&qid=1616437601&sr=8-12,$14.99,"{""https://images-na.ssl-images-amazon.com/images/I/61qFlhgZdFL._AC_SX569_.jpg"":[569,569],""https://images-na.ssl-images-amazon.com/images/I/61qFlhgZdFL._AC_SY355_.jpg"":[355,355],""https://images-na.ssl-images-amazon.com/images/I/61qFlhgZdFL._AC_SY450_.jpg"":[450,450],""https://images-na.ssl-images-amazon.com/images/I/61qFlhgZdFL._AC_SX679_.jpg"":[679,679],""https://images-na.ssl-images-amazon.com/images/I/61qFlhgZdFL._AC_SX425_.jpg"":[425,425],""https://images-na.ssl-images-amazon.com/images/I/61qFlhgZdFL._AC_SX466_.jpg"":[466,466],""https://images-na.ssl-images-amazon.com/images/I/61qFlhgZdFL._AC_SX522_.jpg"":[522,522]}",3.8,26 ratings,B08DW8DYL9
